Operator,Well Name,Formation,Lateral Length,Stages,Township ,Range,Section,"Total Prop, lbs","Fluid, bbls",Date Fracd,Best1 Mo BOPD,Best3 Mo BOPD,Best6 Mo BOPD,Best9 Mo BOPD,Best12 Mo BOPD,Compl. Type,Latitude,Longitude,Fluid Type from DI,SPACING_CAPPED,12 month Cum Prod,pred_p12,pred_p9,pred_p6,pred_p3,pred_p1,frac_design,stage_length,ComplType_counts,ComplType_new
Operator 1,Well 10816,MBH,12067.0,40.0,154,100,21,8658860.0,435142.0,2016-04-15,1289.174971052999,1034.7913090215375,838.2408860056574,720.1753668714753,639.7222457135539,P & P,48.1447607058779,-103.550923846736,SLICKWATER (HC),660.0,246.8,639.7222457135539,720.1753668714753,838.2408860056574,1034.7913090215375,1289.174971052999,835.7550408832059,301.675,3340.0,P & P
Operator 1,Well 10817,MBH,12109.0,40.0,154,100,21,17351323.0,465335.0,2016-09-19,676.6434971085623,544.3856523787653,442.951853792126,381.95296615838623,340.0604261661558,P & P,48.1446373550079,-103.550922989537,SLICKWATER (HC),445.06425,127.64,340.0604261661558,381.95296615838623,442.951853792126,544.3856523787653,676.6434971085623,1566.0880140114111,302.725,3340.0,P & P
Operator 4,Well 10818,MBH,10888.0,45.0,154,98,14,8741420.0,195107.547619048,2016-05-31,1284.3233968939508,1030.9110267740823,835.1193825595963,717.5088307442128,637.3621210152365,P & P (cmt.),48.1679208629708,-103.249233032733,SLICKWATER (HC),660.0,245.85,637.3621210152365,717.5088307442128,835.1193825595963,1030.9110267740823,1284.3233968939508,1881.7295613640158,241.95555555555555,1503.0,P & P (cmt.)
Operator 13,Well 10819,MBH,10252.0,33.0,156,98,1,6521240.0,175627.0,2016-06-28,1101.737736301124,884.8390722512062,717.5492047155308,617.0312633444754,548.406244372095,P & P (cmt.),48.3717182587889,-103.22839660844,SLICKWATER (HC),660.0,210.16,548.406244372095,617.0312633444754,717.5492047155308,884.8390722512062,1101.737736301124,1559.5100981056444,310.6666666666667,1503.0,P & P (cmt.)
Operator 13,Well 10820,MBH,10179.0,33.0,157,97,36,5929220.0,194552.0,2016-06-22,628.4051256693132,505.71039753665184,411.6931188587723,355.14745309529974,316.27789942273427,P & P (cmt.),48.3738890045514,-103.166495685172,SLICKWATER (HC),660.0,118.34,316.27789942273427,355.14745309529974,411.6931188587723,505.71039753665184,628.4051256693132,1280.003495209507,308.45454545454544,1503.0,P & P (cmt.)
Operator 4,Well 10821,TFH,8883.0,40.0,154,99,3,6704740.0,143833.0,2015-12-26,955.4914092933416,767.7769718365499,623.2319658272023,536.3584802388881,476.9466104787869,P & P (cmt.),48.1958025795717,-103.397036943945,SLICKWATER (HC),582.7698,181.67,476.9466104787869,536.3584802388881,623.2319658272023,767.7769718365499,955.4914092933416,1957.819693672523,222.075,1503.0,P & P (cmt.)
Operator 4,Well 10826,MBH,8918.0,40.0,155,99,33,6949935.0,155103.0,2015-11-08,865.7183918125024,695.8872787409167,565.2616549908654,486.7404046733612,432.9761832051231,P & P (cmt.),48.200045771297,-103.422101237535,SLICKWATER (HC),544.31108,164.23,432.9761832051231,486.7404046733612,565.2616549908654,695.8872787409167,865.7183918125024,1881.9576023674592,222.95,1503.0,P & P (cmt.)
Operator 56,Well 10828,MBH,9038.0,31.0,154,100,8,4040615.0,79566.0,2016-11-15,920.4092519297412,739.6864125180194,600.5850237458284,516.977743693072,459.7736601322958,P & P (cmt.),48.171095869885,-103.580671982223,SLICKWATER (HC),629.0086,174.85,459.7736601322958,516.977743693072,600.5850237458284,739.6864125180194,920.4092519297412,2132.893823995174,291.5483870967742,1503.0,P & P (cmt.)
Operator 4,Well 10830,MBH,8790.0,40.0,155,99,33,6803795.0,179029.0,2015-11-07,1051.9982484052407,845.0320274294317,685.4868894630376,589.6144932734519,524.1245934848449,P & P (cmt.),48.2000458853002,-103.422347484535,SLICKWATER (HC),660.0,200.46,524.1245934848449,589.6144932734519,685.4868894630376,845.0320274294317,1051.9982484052407,1596.1625770126627,219.75,1503.0,P & P (cmt.)
Operator 4,Well 10831,MBH,9984.0,40.0,155,99,33,6636150.0,182124.0,2015-11-18,893.0734038137467,717.7957241468414,582.9323678461434,501.8681125075591,446.3836595155781,P & P (cmt.),48.1992234222164,-103.422095534698,SLICKWATER (HC),472.922775,169.54,446.3836595155781,501.8681125075591,582.9323678461434,717.7957241468414,893.0734038137467,1530.3765566317454,249.6,1503.0,P & P (cmt.)
Operator 1,Well 10832,MBH,9567.0,30.0,155,98,12,8531107.0,286438.0,2016-07-13,309.4080948697901,249.63151520550386,204.21923750641915,176.87755611001165,157.915347733069,P & P,48.2562863985821,-103.221767594113,SLICKWATER (HC),326.62169,57.33,157.915347733069,176.87755611001165,204.21923750641915,249.63151520550386,309.4080948697901,1250.9041886900482,318.9,3340.0,P & P
Operator 1,Well 10833,TFH,9790.0,30.0,155,98,12,8895274.0,261160.0,2016-07-12,317.2674056052438,255.94936569919855,209.35148490675505,181.29694600659695,161.84655475762435,P & P,48.2562863985821,-103.221952482221,SLICKWATER (HC),327.2244,58.82,161.84655475762435,181.29694600659695,209.35148490675505,255.94936569919855,317.2674056052438,1430.5464389646195,326.3333333333333,3340.0,P & P
Operator 25,Well 10836,MBH,9390.0,35.0,158,101,13,6643457.0,302131.0,2016-10-10,457.1759961593585,368.3341375140145,300.5162908408125,259.7076791303684,231.54477562947136,P & P,48.5171179085162,-103.673989741768,SLICKWATER (HC),660.0,85.47,231.54477562947136,259.7076791303684,300.5162908408125,368.3341375140145,457.1759961593585,923.5238820246846,268.2857142857143,3340.0,P & P
Operator 4,Well 10838,TFH,9540.0,40.0,155,99,33,6610000.0,184689.0,2015-11-20,700.3185559522769,563.3635297364627,458.2847569520257,395.09749023632673,351.72035287049584,P & P (cmt.),48.1992235932213,-103.422464905198,SLICKWATER (HC),428.307855,132.21,351.72035287049584,395.09749023632673,458.2847569520257,563.3635297364627,700.3185559522769,1503.1756087260205,238.5,1503.0,P & P (cmt.)
Operator 18,Well 10840,TFH,9584.0,50.0,155,96,24,4979151.0,68398.0,2016-04-02,580.8619009972839,467.5820335448237,380.8601640026286,328.69565184718874,292.80284579032786,Sleeves,48.2383777504075,-102.966175089124,SLICKWATER (HC),257.46975,109.19,292.80284579032786,328.69565184718874,380.8601640026286,467.5820335448237,580.8619009972839,3057.4628205503086,191.68,4244.0,Sleeves
Operator 25,Well 10841,MBH,9119.0,49.0,158,101,13,9504594.0,427648.0,2016-10-07,444.51704887535857,358.17130556793967,292.2813307668888,252.63111885015408,225.25803823834758,P & P,48.5171178138358,-103.673783338479,SLICKWATER (HC),660.0,83.05,225.25803823834758,252.63111885015408,292.2813307668888,358.17130556793967,444.51704887535857,933.4615104010775,186.10204081632654,3340.0,P & P
Operator 25,Well 10842,MBH,9673.0,35.0,158,99,7,6700016.0,303214.0,2016-10-29,655.4390269064977,527.3861703365582,429.2142233154946,370.1738227830341,329.61044045406413,P & P (cmt.),48.5185394901276,-103.521169664722,SLICKWATER (HC),660.0,123.55,329.61044045406413,370.1738227830341,429.2142233154946,527.3861703365582,655.4390269064977,928.0596278535951,276.37142857142857,1503.0,P & P (cmt.)
Operator 18,Well 10846,TFH,9740.0,35.0,155,96,24,3498926.0,50731.0,2016-03-30,296.6335110251487,239.3611955005222,195.87430582971476,169.69035315931862,151.52131055169679,Sleeves,48.2383793815982,-102.966446117725,SLICKWATER (HC),222.217405,54.91,151.52131055169679,169.69035315931862,195.87430582971476,239.3611955005222,296.6335110251487,2896.7473931126924,278.2857142857143,4244.0,Sleeves
Operator 25,Well 10848,MBH,9196.0,50.0,158,99,7,9899620.0,435708.0,2016-10-29,682.1365323473223,548.7890674267875,446.5098551845777,385.00338259120565,342.76644296552,P & P (cmt.),48.5185395879843,-103.521272903571,SLICKWATER (HC),660.0,128.7,342.76644296552,385.00338259120565,446.5098551845777,548.7890674267875,682.1365323473223,954.2722190090611,183.92,1503.0,P & P (cmt.)
